"Built-in form","Встроенный в форму"
Widget,"Виджет"
Iframe/Redirect,"Перенаправление на сервис"
Production,"Рабочий"
Sandbox,"Тестовый"
LiqPay,LiqPay
"General Settings","Общие настройки"
"Enabled this Solution","Включить это решение"
Title,"Заголовок"
Mode,"Режим"
"Connection Type","Вид метода оплаты на странице"
"Account Settings","Настройки аккаунта"
"Sandbox Credentials","Тестовые учетные данные"
"Public Key","Публичный ключ"
"Private Key","Приватный ключ"
"Production Credentials","Рабочие учетные данные"
"Advanced Settings","Расширенные настройки"
"Order Prefix","Префикс заказа"
"Order Suffix","Суффикс заказа"
